"","family","genus","binomial","authority","year","number_of_synonyms","number_of_unique_synonyms","commonname","inCSchallenge","common_synonyms_from_HerpMapper","mivs"
"813","Colubridae","Echinanthera","Echinanthera cephalostriata","DI BERNARDO",1996,5,2,"",0,"","no"
"814","Colubridae","Echinanthera","Echinanthera cyanopleura","COPE",1885,8,5,"",0,"","no"
"815","Colubridae","Echinanthera","Echinanthera melanostigma","WAGLER",1824,15,8,"",0,"","no"
"816","Colubridae","Taeniophallus","Taeniophallus occipitalis","JAN",1863,20,8,"Jan's Forest Snake",0,"","no"
"817","Colubridae","Taeniophallus","Taeniophallus persimilis","COPE",1869,14,10,"Dunn's Forest Snake",0,"","no"
"818","Colubridae","Taeniophallus","Taeniophallus poecilopogon","COPE",1863,16,7,"Cope's Forest Snake",0,"","no"
"819","Colubridae","Echinanthera","Echinanthera undulata","WIED-NEUWIED",1824,10,6,"",0,"","no"
"820","Elapidae","Echiopsis","Echiopsis curta","SCHLEGEL",1837,15,8,"Bardick Snake",0,"","yes"
"821","Viperidae","Echis","Echis carinatus","SCHNEIDER",1801,26,7,"Saw-scaled Viper",1,"Echis multisquamatus","yes"
"822","Viperidae","Echis","Echis coloratus","GÜNTHER",1878,10,3,"Palestine Saw-scaled Viper",0,"","yes"
"823","Viperidae","Echis","Echis hughesi","CHERLIN",1990,4,0,"Hughes' Saw-scaled Viper",0,"","yes"
"824","Viperidae","Echis","Echis leucogaster","ROMAN",1972,9,2,"Roman's Saw-scaled Viper",0,"","yes"
"825","Viperidae","Echis","Echis megalocephalus","CHERLIN",1990,4,0,"Cherlin's Saw-scaled Viper",0,"","yes"
"826","Viperidae","Echis","Echis ocellatus","STEMMLER",1970,8,1,"African Saw-scaled Viper",1,"Echis romani, Echis jogeri","yes"
"827","Viperidae","Echis","Echis pyramidum","GEOFFROY SAINT-HILAIRE",1827,29,7,"Egyptian Saw-scaled Viper",0,"","yes"
"828","Colubridae","Eirenis","Eirenis africanus","BOULENGER",1914,7,3,"",0,"","no"
"829","Colubridae","Eirenis","Eirenis aurolineatus","VENZMER",1919,5,2,"",0,"","no"
"830","Colubridae","Eirenis","Eirenis barani","SCHMIDTLER",1988,9,2,"Baran Dwarf Racer",0,"","no"
"831","Colubridae","Eirenis","Eirenis coronella","SCHLEGEL",1837,22,11,"Crowned Dwarf Racer",0,"","no"
"832","Colubridae","Eirenis","Eirenis decemlineatus","DUMÉRIL, BIBRON & DUMÉRIL",1854,12,6,"",0,"","no"
"833","Colubridae","Eirenis","Eirenis eiselti","SCHMIDTLER & SCHMIDTLER",1978,5,2,"Eiselt's Dwarf Racer",0,"","no"
"834","Colubridae","Eirenis","Eirenis hakkariensis","SCHMIDTLER & EISELT",1991,3,1,"",0,"","no"
"835","Colubridae","Eirenis","Eirenis levantinus","SCHMIDTLER",1993,4,1,"",0,"","no"
"836","Colubridae","Eirenis","Eirenis lineomaculatus","SCHMIDT",1939,5,2,"",0,"","no"
"837","Colubridae","Eirenis","Eirenis medus","CHERNOV",1940,8,4,"",0,"","no"
"838","Colubridae","Eirenis","Eirenis modestus","MARTIN",1838,20,8,"Asia Minor Dwarf Racer",0,"","no"
"839","Colubridae","Eirenis","Eirenis punctatolineatus","BOETTGER",1892,16,9,"Dotted Dwarf Racer",0,"","no"
"840","Colubridae","Eirenis","Eirenis rechingeri","EISELT",1971,3,1,"",0,"","no"
"841","Colubridae","Eirenis","Eirenis rothii","JAN",1863,7,4,"Roth's Dwarf Racer",0,"","no"
"842","Colubridae","Eirenis","Eirenis thospitis","SCHMIDTLER & LANZA",1990,4,2,"",0,"","no"
"843","Colubridae","Boiga","Boiga westermanni","REINHARDT",1863,6,1,"",0,"","no"
"844","Colubridae","Pantherophis","Pantherophis bairdi","YARROW",1880,14,5,"Baird's Ratsnake",0,"Elaphe bairdi","no"
"845","Colubridae","Elaphe","Elaphe bimaculata","SCHMIDT",1925,6,1,"Twin-spotted Rat Snake",0,"","no"
"846","Colubridae","Elaphe","Elaphe cantoris","BOULENGER",1894,15,7,"Eastern Trinket Snake",0,"","no"
"847","Colubridae","Elaphe","Elaphe carinata","GÜNTHER",1864,24,9,"Taiwan Stink Snake",0,"","no"
"848","Colubridae","Elaphe","Elaphe climacophora","BOIE",1826,10,4,"Japanese Rat Snake",0,"","no"
"849","Colubridae","Euprepiophis","Euprepiophis conspicillata","BOIE",1826,17,10,"",0,"","no"
"850","Colubridae","Elaphe","Elaphe davidi","SAUVAGE",1884,9,4,"Pere David's Rat Snake",0,"","no"
"851","Colubridae","Elaphe","Elaphe dione","PALLAS",1773,25,11,"Steppe Rat Snake",0,"","no"
"852","Colubridae","Pantherophis","Pantherophis emoryi","BAIRD & GIRARD",1853,24,9,"Great Plains Ratsnake",0,"Pantherophis emoryi meahllmorum, Pantherophis emoryi emoryi, Elaphe guttata emoryi","no"
"853","Colubridae","Coelognathus","Coelognathus erythrurus","DUMÉRIL, BIBRON  & DUMÉRIL",1854,23,7,"Reddish Rat Snake",0,"Elaphe erythrura","no"
"854","Colubridae","Pseudelaphe","Pseudelaphe flavirufa","COPE",1867,24,10,"Yellow-red Rat Snake",0,"Elaphe flavirufa","no"
"855","Colubridae","Coelognathus","Coelognathus flavolineatus","SCHLEGEL",1837,23,12,"Black Copper Rat Snake",0,"Elaphe flavolineata","no"
"856","Colubridae","Pantherophis","Pantherophis guttatus","LINNAEUS",1766,25,18,"Corn Snake",1,"Elaphe guttata","no"
"857","Colubridae","Coelognathus","Coelognathus helena","DAUDIN",1803,25,12,"Common Trinket Snake",0,"Elaphe helenae","no"
"858","Colubridae","Elaphe","Elaphe hodgsoni","GÜNTHER",1860,17,10,"",0,"","no"
"859","Colubridae","Zamenis","Zamenis hohenackeri","STRAUCH",1873,13,4,"Transcaucasian Rat Snake",0,"Elaphe hohenackeri","no"
"860","Colubridae","Zamenis","Zamenis lineatus","CAMERANO",1891,8,5,"",0,"","no"
"861","Colubridae","Zamenis","Zamenis longissimus","LAURENTI",1768,14,8,"Aesculapian Rat Snake",1,"Elaphe longissima","no"
"862","Colubridae","Euprepiophis","Euprepiophis mandarinus","CANTOR",1842,16,7,"",0,"","no"
"863","Colubridae","Elaphe","Elaphe moellendorffi","BOETTGER",1886,11,6,"Red-headed Rat Snake",0,"","no"
"864","Colubridae","Pantherophis","Pantherophis obsoletus","SAY",1823,24,6,"Black Ratsnake Complex",1,"Pantherophis spiloides, Pantherophis alleghaniensis, Elaphe obsoleta","no"
"865","Colubridae","Euprepiophis","Euprepiophis perlacea","STEJNEGER",1929,7,2,"",0,"","no"
"866","Colubridae","Zamenis","Zamenis persicus","WERNER",1913,9,5,"",0,"","no"
"867","Colubridae","Oreocryptophis","Oreocryptophis porphyraceus","CANTOR",1839,21,9,"",0,"","no"
"868","Colubridae","Elaphe","Elaphe quadrivirgata","BOIE",1826,14,7,"Japanese Four-lined Rat Snake",0,"","no"
"869","Colubridae","Elaphe","Elaphe quatuorlineata","BONNATERRE",1790,21,13,"Four-lined Rat Snake",0,"","no"
"870","Colubridae","Coelognathus","Coelognathus radiatus","BOIE",1827,24,11,"Radiated Rat Snake",1,"Elaphe radiata","no"
"871","Colubridae","Oocatochus","Oocatochus rufodorsatus","CANTOR",1842,20,9,"Frog-eating Rat Snake",1,"Elaphe rufodorsata","no"
"872","Colubridae","Zamenis","Zamenis scalaris","SCHINZ",1822,22,5,"",0,"","no"
"873","Colubridae","Elaphe","Elaphe schrenckii","STRAUCH",1873,10,6,"Russian Rat Snake",0,"","no"
"874","Colubridae","Zamenis","Zamenis situla","LINNAEUS",1758,21,9,"",0,"","no"
"875","Colubridae","Coelognathus","Coelognathus subradiatus","SCHLEGEL",1837,9,5,"Sunda Rat Snake",0,"Elaphe subradiata","no"
"876","Colubridae","Elaphe","Elaphe taeniura","COPE",1861,26,7,"Taiwanese Beauty Snake",0,"","no"
"877","Colubridae","Pantherophis","Pantherophis vulpinus","BAIRD & GIRARD",1853,25,10,"Western Foxsnake",0,"Pantherophis ramspotti, Elaphe vulpina vulpina, Elaphe vulpina","no"
"878","Elapidae","Elapognathus","Elapognathus minor","GÜNTHER",1863,9,3,"Little Brown Snake",0,"","no"
"879","Colubridae","Elapoidis","Elapoidis fusca","BOIE",1827,13,7,"",0,"","no"
"880","Colubridae","Phalotris","Phalotris lemniscatus","DUMÉRIL, BIBRON  & DUMÉRIL",1854,20,5,"Dumeril's Burrowing Snake",0,"Elapomorphus lemniscatus","no"
"881","Colubridae","Coronelaps","Coronelaps lepidus","REINHARDT",1861,14,6,"",0,"","no"
"882","Colubridae","Elapomorphus","Elapomorphus quinquelineatus","RADDI",1820,10,5,"Raddi's Lizard-eating Snake",0,"","no"
"883","Colubridae","Elapomorphus","Elapomorphus wuchereri","GÜNTHER",1861,5,0,"Wucherer's Lizard-eating Snake",0,"","no"
"884","Elapidae","Elapsoidea","Elapsoidea broadleyi","JAKOBSEN",1997,4,1,"Broadley's Garter Snake",0,"","no"
"885","Elapidae","Elapsoidea","Elapsoidea chelazziorum","LANZA",1979,5,1,"Somali Garter Snake",0,"","no"
"886","Elapidae","Elapsoidea","Elapsoidea guentherii","BOCAGE",1866,19,10,"",0,"","no"
"887","Elapidae","Elapsoidea","Elapsoidea laticincta","WERNER",1919,8,2,"Werner's Garter Snake",0,"","no"
"888","Elapidae","Elapsoidea","Elapsoidea loveridgei","PARKER",1949,21,3,"Loveridge's Garter Snake",0,"","no"
"889","Elapidae","Elapsoidea","Elapsoidea nigra","GÜNTHER",1888,9,2,"Black Garter Snake",0,"","no"
"890","Elapidae","Elapsoidea","Elapsoidea semiannulata","BOCAGE",1882,21,6,"Angola Garter Snake",0,"","no"
"891","Elapidae","Elapsoidea","Elapsoidea sundevallii","SMITH",1848,22,8,"",0,"","no"
"892","Colubridae","Emmochliophis","Emmochliophis fugleri","FRITTS & SMITH",1969,3,0,"Pinchinda Snake",0,"","no"
"893","Colubridae","Emmochliophis","Emmochliophis miops","BOULENGER",1898,3,1,"",0,"","no"
"894","Elapidae","Emydocephalus","Emydocephalus annulatus","KREFFT",1869,8,2,"Ringed Turtlehead Sea Snake",0,"","no"
"895","Elapidae","Emydocephalus","Emydocephalus ijimae","STEJNEGER",1898,6,1,"Turtlehead Sea Snake",0,"","no"
"896","Elapidae","Hydrophis","Hydrophis schistosus","DAUDIN",1803,22,14,"Beaked Sea Snake",0,"Enhydrina schistosa","yes"
"897","Elapidae","Hydrophis","Hydrophis zweifeli","KHARIN",1985,6,1,"Zweifel's Sea Snake",0,"Enhydrina zweifeli","yes"
"898","Homalopsidae","Sumatranus","Sumatranus albomaculata","DUMÉRIL, BIBRON  & DUMÉRIL",1854,8,4,"",0,"","no"
"899","Homalopsidae","Miralia","Miralia alternans","REUSS",1834,11,6,"",0,"","no"
"900","Homalopsidae","Myrrophis","Myrrophis bennettii","GRAY",1842,11,3,"Bennett's Water Snake",0,"Enhydris bennettii","no"
"901","Homalopsidae","Subsessor","Subsessor bocourti","JAN",1865,11,4,"",0,"","no"
"902","Homalopsidae","Myrrophis","Myrrophis chinensis","GRAY",1842,10,3,"Chinese Water Snake",1,"Enhydris chinensis","no"
"903","Homalopsidae","Homalophis","Homalophis doriae","PETERS",1871,6,3,"",0,"","no"
"904","Homalopsidae","Dieurostus","Dieurostus dussumieri","DUMÉRIL, BIBRON  & DUMÉRIL",1854,11,5,"",0,"","no"
"905","Homalopsidae","Enhydris","Enhydris enhydris","SCHNEIDER",1799,21,10,"Rainbow Water Snake",0,"","no"
"906","Homalopsidae","Raclitia","Raclitia indica","GRAY",1842,6,1,"",0,"","no"
"907","Homalopsidae","Enhydris","Enhydris innominata","MORICE",1875,6,1,"Tay Minh Water Snake",0,"","no"
"908","Homalopsidae","Enhydris","Enhydris jagorii","PETERS",1863,10,5,"Striped Water Snake",0,"","no"
"909","Homalopsidae","Enhydris","Enhydris longicauda","BOURRET",1934,6,2,"Longhead Water Snake",0,"","no"
"910","Homalopsidae","Gyiophis","Gyiophis maculosa","BLANFORD",1881,6,4,"",0,"","no"
"911","Homalopsidae","Hypsiscopus","Hypsiscopus matannensis","BOULENGER",1897,6,2,"",0,"","no"
"912","Homalopsidae","Kualatahan","Kualatahan pahangensis","TWEEDIE",1946,5,1,"",0,"","no"
"913","Homalopsidae","Mintonophis","Mintonophis pakistanicus","MERTENS",1959,4,1,"",0,"","no"
"914","Homalopsidae","Hypsiscopus","Hypsiscopus plumbea","BOIE",1827,24,11,"",0,"","no"
"915","Homalopsidae","Pseudoferania","Pseudoferania polylepis","FISCHER",1886,17,7,"Macleay's Water Snake",0,"Enhydris polylepis","no"
"916","Homalopsidae","Phytolopsis","Phytolopsis punctata","GRAY",1849,14,7,"",0,"","no"
"917","Homalopsidae","Ferania","Ferania sieboldii","SCHLEGEL",1837,13,6,"",0,"","no"
"918","Colubridae","Enuliophis","Enuliophis sclateri","BOULENGER",1894,9,4,"Columbian Longtail Snake",0,"Enulius sclateri","no"
"919","Colubridae","Enulius","Enulius bifoveatus","MCCRANIE & KÖHLER",1999,2,0,"",0,"","no"
"920","Colubridae","Enulius","Enulius flavitorques","COPE",1868,24,9,"Pacific Longtail Snake",0,"","no"
"921","Colubridae","Enulius","Enulius oligostichus","SMITH, ARNDT & SHERBROOK",1967,4,0,"Mexican Longtail Snake",0,"","no"
"922","Colubridae","Enulius","Enulius roatanensis","MCCRANIE & KÖHLER",1999,3,0,"",0,"","no"
"923","Elapidae","Ephalophis","Ephalophis greyae","SMITH",1931,8,1,"",0,"","no"
"924","Boidae","Chilabothrus","Chilabothrus angulifer","COCTEAU & BIBRON",1840,9,1,"Cuban Boa",0,"Epicrates angulifer","no"
"925","Boidae","Epicrates","Epicrates cenchria","LINNAEUS",1758,25,8,"Rainbow Boa",1,"","no"
"926","Boidae","Chilabothrus","Chilabothrus chrysogaster","COPE",1871,15,6,"Turk's Island Boa",0,"Epicrates chrysogaster","no"
"927","Boidae","Chilabothrus","Chilabothrus exsul","NETTING & GOIN",1944,5,1,"Abaco Island Boa",0,"Epicrates exsul","no"
"928","Boidae","Chilabothrus","Chilabothrus fordii","GÜNTHER",1861,16,6,"",0,"","no"
"929","Boidae","Chilabothrus","Chilabothrus gracilis","FISCHER",1888,11,2,"Hispaniolan Slender Boa",0,"Epicrates gracilis","no"
"930","Boidae","Chilabothrus","Chilabothrus inornatus","REINHARDT",1843,11,4,"Puerto Rican Boa",0,"Epicrates inornatus","no"
"931","Boidae","Chilabothrus","Chilabothrus monensis","ZENNECK",1898,8,2,"Mona Island Boa",0,"Epicrates monensis","no"
"932","Boidae","Chilabothrus","Chilabothrus striatus","FISCHER",1856,19,3,"Hispaniolan Boa",0,"Epicrates striatus","no"
"933","Boidae","Chilabothrus","Chilabothrus subflavus","STEJNEGER",1901,5,1,"Jamaican Yellow Boa",0,"Epicrates subflavus","no"
"934","Colubridae","Hypsiglena","Hypsiglena slevini","TANNER",1943,7,1,"Baja California Night Snake",0,"Eridiphas slevini","no"
"935","Viperidae","Eristicophis","Eristicophis macmahoni","ALCOCK & FINN",1897,7,3,"McMahons Viper",0,"","yes"
"936","Viperidae","Protobothrops","Protobothrops mangshanensis","ZHAO",1990,15,3,"Mangshanen Pit Viper",0,"Trimeresurus mangshanensis","yes"
"937","Homalopsidae","Erpeton","Erpeton tentaculatum","LACÉPÈDE",1800,13,5,"Tentacled Snake",0,"","no"
"938","Colubridae","Erythrolamprus","Erythrolamprus aesculapii","LINNAEUS",1758,20,11,"Aesculapian False Coral Snake",1,"","no"
"939","Colubridae","Erythrolamprus","Erythrolamprus ocellatus","PETERS",1869,7,1,"",0,"","no"
"940","Colubridae","Erythrolamprus","Erythrolamprus bizona","JAN",1863,8,2,"Jan's False Coral Snake",0,"","no"
"941","Colubridae","Erythrolamprus","Erythrolamprus guentheri","GARMAN",1883,5,0,"GÃ¼nther's False Coral Snake",0,"","no"
"942","Colubridae","Erythrolamprus","Erythrolamprus mimus","COPE",1868,13,2,"Mimic False Coral Snake",0,"","no"
"943","Colubridae","Erythrolamprus","Erythrolamprus pseudocorallus","ROZE",1959,5,0,"False Coral Snake",0,"","no"
"944","Boidae","Eryx","Eryx elegans","GRAY",1849,6,2,"Central Asia Sand Boa",0,"","no"
"945","Boidae","Eryx","Eryx jaculus","LINNAEUS",1758,31,7,"Caucasian Sand Boa",1,"","no"
"946","Boidae","Eryx","Eryx jayakari","BOULENGER",1888,8,2,"Arabian Sand Boa",0,"","no"
"947","Boidae","Eryx","Eryx johnii","RUSSELL",1801,11,7,"Brown Sand Boa",0,"","no"
"948","Boidae","Eryx","Eryx miliaris","PALLAS",1773,21,8,"Dwarf Sand Boa",0,"","no"
"949","Boidae","Eryx","Eryx somalicus","SCORTECCI",1939,5,1,"Somali Sand Boa",0,"","no"
"950","Boidae","Eryx","Eryx tataricus","LICHTENSTEIN",1823,18,5,"Tartar Sand Boa",0,"","no"
"951","Boidae","Eryx","Eryx whitakeri","DAS",1991,5,1,"Whitaker's Sand Boa",0,"","no"
"952","Colubridae","Etheridgeum","Etheridgeum pulchrum","WERNER",1924,4,1,"Sumatra Etheridge Snake",0,"","no"
"953","Boidae","Eunectes","Eunectes deschauenseei","DUNN & CONANT",1936,4,0,"Dark-spotted Anaconda",0,"","no"
"954","Boidae","Eunectes","Eunectes murinus","LINNAEUS",1758,17,6,"Green Anaconda",1,"","no"
"955","Boidae","Eunectes","Eunectes notaeus","COPE",1862,9,2,"Yellow Anaconda",0,"","no"
"956","Lamprophiidae","Elapotinus","Elapotinus picteti","JAN",1862,11,2,"Jan's Snake",0,"","no"
"957","Boidae","Exiliboa","Exiliboa placata","BOGERT",1968,5,0,"Oaxacan Dwarf Boa",0,"","no"
"958","Colubridae","Farancia","Farancia abacura","HOLBROOK",1836,26,11,"Mud Snake",1,"","no"
"959","Colubridae","Farancia","Farancia erytrogramma","PALISSOT DE BEAUVOIS",1802,22,11,"Rainbow Snake",0,"","no"
"960","Colubridae","Ficimia","Ficimia hardyi","MENDOZA-QUIJANO & SMITH",1993,3,0,"",0,"","no"
"961","Colubridae","Ficimia","Ficimia olivacea","GRAY",1849,6,1,"Brown Hooknose Snake",0,"Ficimia olivaceus","no"
"962","Colubridae","Ficimia","Ficimia publia","COPE",1866,8,3,"Blotched Hooknose Snake",0,"","no"
"963","Colubridae","Ficimia","Ficimia ramirezi","SMITH & LANGEBARTEL",1949,4,0,"Ramirez's Hooknose Snake",0,"","no"
"964","Colubridae","Ficimia","Ficimia ruspator","SMITH & TAYLOR",1941,4,0,"Guerreran Hooknose Snake",0,"","no"
"965","Colubridae","Ficimia","Ficimia streckeri","TAYLOR",1931,6,1,"Mexican Hooknose Snake",0,"","no"
"966","Colubridae","Ficimia","Ficimia variegata","GÜNTHER",1858,5,1,"Tehuantepec Hooknose Snake",0,"","no"
"967","Xenodermidae","Fimbrios","Fimbrios klossi","SMITH",1921,4,0,"Bearded Snake",0,"","no"
"968","Homalopsidae","Fordonia","Fordonia leucobalia","SCHLEGEL",1837,15,7,"Whitebelly Mangrove Snake",0,"","no"
"969","Elapidae","Furina","Furina barnardi","KINGHORN",1939,8,1,"Yellow-naped Snake",0,"","no"
"970","Elapidae","Furina","Furina diadema","SCHLEGEL",1837,15,7,"Red-naped Snake",0,"","no"
"971","Elapidae","Furina","Furina dunmalli","WORRELL",1955,10,1,"Dunmall's Snake",0,"","no"
"972","Elapidae","Furina","Furina ornata","GRAY",1842,15,7,"Orange-naped Snake",0,"","no"
"973","Elapidae","Furina","Furina tristis","GÜNTHER",1858,14,4,"Brown-headed Snake",0,"","no"
"974","Colubridae","Hapsidophrys","Hapsidophrys smaragdinus","SCHLEGEL",1837,20,9,"Emerald Snake",1,"","no"
"975","Colubridae","Geagras","Geagras redimitus","COPE",1875,7,3,"Tehuantepec Striped Snake",0,"","no"
"976","Lamprophiidae","Compsophis","Compsophis boulengeri","PERACCA",1892,7,4,"Boulenger's Forest Snake",0,"Geodipsas heimi, Geodipsas boulengeri","no"
"977","Lamprophiidae","Compsophis","Compsophis infralineatus","GÜNTHER",1882,5,3,"Lined Forest Snake",0,"Geodipsas infralineata","no"
"978","Lamprophiidae","Compsophis","Compsophis laphystius","CADLE",1996,3,2,"",0,"","no"
"979","Lamprophiidae","Compsophis","Compsophis vinckei","DOMERGUE",1988,4,2,"",0,"","no"
"980","Lamprophiidae","Compsophis","Compsophis zeny","CADLE",1996,3,2,"",0,"","no"
"981","Colubridae","Geophis","Geophis anocularis","DUNN",1920,6,2,"Sierra Mije Earth Snake",0,"","no"
"982","Colubridae","Geophis","Geophis betaniensis","RESTREPO & WRIGHT",1987,4,0,"Betanien Earth Snake",0,"","no"
"983","Colubridae","Geophis","Geophis bicolor","GÜNTHER",1868,8,4,"Mexican Plateau Earth Snake",0,"","no"
"984","Colubridae","Geophis","Geophis blanchardi","TAYLOR & SMITH",1939,4,0,"Blanchard's Earth Snake",0,"","no"
"985","Colubridae","Geophis","Geophis brachycephalus","COPE",1871,20,17,"Colombian Earth Snake",1,"","no"
"986","Colubridae","Geophis","Geophis cancellatus","SMITH",1941,5,0,"Chiapas Earth Snake",0,"","no"
"987","Colubridae","Geophis","Geophis carinosus","STUART",1941,6,0,"Keeled Earth Snake",0,"","no"
"988","Colubridae","Geophis","Geophis chalybeus","WAGLER",1830,14,9,"Veracruz Earth Snake",0,"","no"
"989","Colubridae","Geophis","Geophis championi","BOULENGER",1894,10,3,"Panamanian Earth Snake",0,"","no"
"990","Colubridae","Geophis","Geophis damiani","WILSON, MCCRANIE & WILLIAMS",1998,3,0,"",0,"","no"
"991","Colubridae","Geophis","Geophis downsi","SAVAGE",1981,4,0,"Savage's Earth Snake",0,"","no"
"992","Colubridae","Geophis","Geophis dubius","PETERS",1861,9,5,"Mesa del Sur Earth Snake",0,"","no"
"993","Colubridae","Geophis","Geophis duellmani","SMITH & HOLLAND",1969,4,0,"Sierra Juarez Earth Snake",0,"","no"
"994","Colubridae","Geophis","Geophis dugesii","BOCOURT",1883,18,5,"DugÃ¨s' Earth Snake",0,"","no"
"995","Colubridae","Geophis","Geophis dunni","SCHMIDT",1932,6,0,"Dunn's Earth Snake",0,"","no"
"996","Colubridae","Geophis","Geophis fulvoguttatus","MERTENS",1952,5,0,"Mertens' Earth Snake",0,"","no"
"997","Colubridae","Geophis","Geophis godmani","BOULENGER",1894,8,2,"Godman's Earth Snake",0,"","no"
"998","Colubridae","Geophis","Geophis hoffmanni","PETERS",1859,15,7,"Hoffmann's Earth Snake",0,"","no"
"999","Colubridae","Geophis","Geophis immaculatus","DOWNS",1967,4,0,"Downs' Earth Snake",0,"","no"
"1000","Colubridae","Geophis","Geophis incomptus","DUELLMAN",1959,5,0,"Sierra Coalcoman Earth Snake",0,"","no"
"1001","Colubridae","Geophis","Geophis isthmicus","BOULENGER",1894,9,5,"Isthmian Earth Snake",0,"","no"
"1002","Colubridae","Geophis","Geophis laticinctus","SMITH & WILLIAMS",1963,7,1,"Mesa Central Earth Snake",0,"","no"
"1003","Colubridae","Geophis","Geophis laticollaris","SMITH, LYNCH & ALTIG",1965,5,1,"Widecollar Earth Snake",0,"","no"
"1004","Colubridae","Geophis","Geophis latifrontalis","GARMAN",1883,11,3,"PotosÃ­ Earth Snake",0,"","no"
"1005","Colubridae","Geophis","Geophis maculiferus","TAYLOR",1941,4,0,"MichoacÃ¡n Earth Snake",0,"","no"
"1006","Colubridae","Geophis","Geophis mutitorques","COPE",1885,9,5,"Highland Earth Snake",0,"","no"
"1007","Colubridae","Geophis","Geophis nasalis","COPE",1868,12,5,"Coffee Earth Snake",0,"","no"
"1008","Colubridae","Geophis","Geophis nigrocinctus","DUELLMAN",1959,4,0,"Black-banded Earth Snake",0,"","no"
"1009","Colubridae","Geophis","Geophis omiltemanus","GÜNTHER",1893,9,4,"Guerreran Earth Snake",0,"","no"
"1010","Colubridae","Geophis","Geophis petersii","BOULENGER",1894,6,2,"Peters' Earth Snake",0,"","no"
"1011","Colubridae","Geophis","Geophis pyburni","CAMPBELL & MURPHY",1977,4,0,"Pyburn's Earth Snake",0,"","no"
"1012","Colubridae","Geophis","Geophis rhodogaster","COPE",1868,10,4,"Rosebelly Earth Snake",0,"","no"
"1013","Colubridae","Geophis","Geophis russatus","SMITH & WILLIAMS",1966,5,1,"Red Earth Snake",0,"","no"
"1014","Colubridae","Geophis","Geophis ruthveni","WERNER",1925,7,1,"Ruthven's Earth Snake",0,"","no"
"1015","Colubridae","Geophis","Geophis sallaei","BOULENGER",1894,9,3,"Sallae's Earth Snake",0,"","no"
"1016","Colubridae","Geophis","Geophis semidoliatus","DUMÉRIL, BIBRON  & DUMÉRIL",1854,12,7,"Coral Earth Snake",1,"","no"
"1017","Colubridae","Geophis","Geophis sieboldi","JAN",1862,8,4,"Siebold's Earth Snake",0,"","no"
"1018","Colubridae","Geophis","Geophis talamancae","LIPS & SAVAGE",1994,3,0,"",0,"","no"
"1019","Colubridae","Geophis","Geophis tarascae","HARTWEG",1959,4,0,"Tarascan Earth Snake",0,"","no"
"1020","Colubridae","Geophis","Geophis zeledoni","TAYLOR",1954,4,0,"Zeldon's Earth Snake",0,"","no"
"1021","Homalopsidae","Gerarda","Gerarda prevostiana","EYDOUX & GERVAIS",1837,15,7,"Gerard's Water Snake",0,"","no"
"1022","Viperidae","Gloydius","Gloydius blomhoffii","BOIE",1826,21,11,"Japanese Mamushi",1,"Agkistrodon blomhoffii","yes"
"1023","Viperidae","Gloydius","Gloydius halys","PALLAS",1776,27,7,"Siberian Pit Viper",1,"Agkistrodon halys","yes"
"1024","Viperidae","Gloydius","Gloydius himalayanus","GÜNTHER",1864,9,3,"Himalayan Pit Viper",0,"Agkistrodon himalayanus","yes"
"1025","Viperidae","Gloydius","Gloydius intermedius","STRAUCH",1868,21,12,"Central Asian Pit Viper",0,"Agkistrodon intermedius","yes"
"1026","Viperidae","Gloydius","Gloydius monticola","WERNER",1922,9,4,"Likiang Pit Viper",0,"Agkistrodon monticola","yes"
"1027","Viperidae","Gloydius","Gloydius shedaoensis","ZHAO",1979,8,3,"Shedao Pit Viper",0,"Agkistrodon shedaoensis","yes"
"1028","Viperidae","Gloydius","Gloydius strauchi","BEDRIAGA",1912,9,4,"Strauch's Pit Viper",0,"Agkistrodon strauchi","yes"
"1029","Viperidae","Gloydius","Gloydius tsushimaensis","ISOGAWA, MORIYA & MITSUI",1994,4,1,"Tsushima Mamushi",0,"","yes"
"1030","Viperidae","Gloydius","Gloydius ussuriensis","EMELIANOV",1929,16,7,"Ussuri Mamushi",0,"Agkistrodon caliginosus","yes"
"1031","Colubridae","Gomesophis","Gomesophis brasiliensis","GOMES",1918,6,1,"Brazilian Burrowing Snake",0,"","no"
"1032","Boidae","Eryx","Eryx colubrinus","LINNAEUS",1758,26,9,"East African Sandboa",0,"Gongylophis colubrinus","no"
"1033","Boidae","Eryx","Eryx conicus","SCHNEIDER",1801,20,5,"Rough-scaled Sand Boa",1,"Gongylophis conicus","no"
"1034","Boidae","Eryx","Eryx muelleri","BOULENGER",1892,10,2,"West African Sand Boa",0,"Gongylophis muelleri","no"
"1035","Colubridae","Gongylosoma","Gongylosoma baliodeirum","BOIE",1827,21,9,"",0,"","no"
"1036","Colubridae","Gongylosoma","Gongylosoma longicaudum","PETERS",1871,18,8,"",0,"","no"
"1037","Lamprophiidae","Gonionotophis","Gonionotophis brussauxi","MOCQUARD",1889,14,6,"Mocquard's African Ground Snake",0,"","no"
"1038","Lamprophiidae","Gonionotophis","Gonionotophis grantii","GÜNTHER",1863,8,3,"Grant's African Ground Snake",0,"","no"
"1039","Lamprophiidae","Gonionotophis","Gonionotophis klingi","MATSCHIE",1893,6,0,"Matschie's African Ground Snake",0,"","no"
